date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:23:52	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2013:13:53%20GMT	http://unmsm.claro.net.pe/robots.txt		(from )
07:23:53	1244/1244	---M--	200	added ('OK')	text/html	etag:%22ac9577a9a1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/index.html	(from )
07:23:53	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	S:/My%20Web%20Sites/UNMSM%202019-2/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://unmsm.claro.net.pe/resultAdmin20192/)
07:23:54	625/625	---M--	200	added ('OK')	text/css	etag:%22d1011a9a1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/css/estilos.css	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/css/estilos.css	(from http://unmsm.claro.net.pe/resultAdmin20192/)
07:23:54	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	S:/My%20Web%20Sites/UNMSM%202019-2/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://unmsm.claro.net.pe/resultAdmin20192/)
07:23:54	37045/37045	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	S:/My%20Web%20Sites/UNMSM%202019-2/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from http://unmsm.claro.net.pe/resultAdmin20192/)
07:23:55	7272/7272	---M--	200	added ('OK')	text/html	etag:%22796ab28fa1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/A.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/A.html	(from http://unmsm.claro.net.pe/resultAdmin20192/)
07:23:55	6431/6431	---M--	200	added ('OK')	text/html	etag:%2284ebcba8a1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/C.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/C.html	(from http://unmsm.claro.net.pe/resultAdmin20192/)
07:23:56	1317/1317	---M--	200	added ('OK')	text/html	etag:%223ed33aba1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/J.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/J.html	(from http://unmsm.claro.net.pe/resultAdmin20192/)
07:23:56	2616/2616	---M--	200	added ('OK')	text/html	etag:%224fc0d3b2a1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/N.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/N.html	(from http://unmsm.claro.net.pe/resultAdmin20192/)
07:23:57	3251/3251	---M--	200	added ('OK')	text/html	etag:%22739638bda1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/O.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/O.html	(from http://unmsm.claro.net.pe/resultAdmin20192/)
07:23:57	1244/1244	---M--	200	added ('OK')	text/html	etag:%22ac9577a9a1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/index.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/index-2.html	(from http://unmsm.claro.net.pe/resultAdmin20192/A.html)
07:23:58	13723/13723	---M--	200	added ('OK')	text/html	etag:%225873dc3aa1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/A/011/0.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/A/011/0.html	(from http://unmsm.claro.net.pe/resultAdmin20192/A.html)
07:23:58	12685/12685	---M--	200	added ('OK')	text/html	etag:%22067e41a1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/A/012/0.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/A/012/0.html	(from http://unmsm.claro.net.pe/resultAdmin20192/A.html)
07:23:59	12756/12756	---M--	200	added ('OK')	text/html	etag:%22c66faa42a1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/A/013/0.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/A/013/0.html	(from http://unmsm.claro.net.pe/resultAdmin20192/A.html)
07:24:00	12657/12657	---M--	200	added ('OK')	text/html	etag:%2245d8f543a1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/A/0141/0.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/A/0141/0.html	(from http://unmsm.claro.net.pe/resultAdmin20192/A.html)
07:24:00	12734/12734	---M--	200	added ('OK')	text/html	etag:%22b3bd9c44a1d7d41:608%22	http://unmsm.claro.net.pe/resultAdmin20192/A/0142/0.html	S:/My%20Web%20Sites/UNMSM%202019-2/unmsm.claro.net.pe/resultAdmin20192/A/0142/0.html	(from http://unmsm.claro.net.pe/resultAdmin20192/A.html)
